experiment_id,successful,wave_amplitude,wave_frequency,square_position,square_dimension_perc,line_center_coordinates,line_thickness_perc,line_dimension_perc,line_angle,rotation,scale,filename
119,False,0.2,1.54,"(439, 314)",0.5,,0.0,0.0,0.0,"(-18, -18)",1.00507930272326,_claycode2-fragment-faRZ0H0PmA.png
120,True,0.2,1.31,"(551, 175)",0.1,,0.0,0.0,0.0,"(10, -10)",0.9336137206390583,_claycode2-fragment-g5EVtP.png
121,True,0.2,1.31,"(550, 109)",0.2,,0.0,0.0,0.0,"(10, -10)",0.9336137206390583,_claycode2-fragment-g5EVtP.png
122,False,0.2,1.31,"(193, 229)",0.3,,0.0,0.0,0.0,"(10, -10)",0.9336137206390583,_claycode2-fragment-g5EVtP.png
123,False,0.2,1.31,"(188, 274)",0.4,,0.0,0.0,0.0,"(10, -10)",0.9336137206390583,_claycode2-fragment-g5EVtP.png
124,False,0.2,1.31,"(459, 449)",0.5,,0.0,0.0,0.0,"(10, -10)",0.9336137206390583,_claycode2-fragment-g5EVtP.png
125,True,0.2,1.24,"(483, 406)",0.1,,0.0,0.0,0.0,"(-14, -20)",1.013248694110088,_claycode2-fragment-g5EVtP.png
126,True,0.2,1.24,"(179, 302)",0.2,,0.0,0.0,0.0,"(-14, -20)",1.013248694110088,_claycode2-fragment-g5EVtP.png
127,True,0.2,1.24,"(304, 484)",0.3,,0.0,0.0,0.0,"(-14, -20)",1.013248694110088,_claycode2-fragment-g5EVtP.png
128,False,0.2,1.24,"(350, 161)",0.4,,0.0,0.0,0.0,"(-14, -20)",1.013248694110088,_claycode2-fragment-g5EVtP.png
129,False,0.2,1.24,"(378, 444)",0.5,,0.0,0.0,0.0,"(-14, -20)",1.013248694110088,_claycode2-fragment-g5EVtP.png
130,False,0.2,1.43,"(361, 280)",0.1,,0.0,0.0,0.0,"(20, 13)",1.0633109655468023,_claycode2-fragment-iO2nTqxQr98.png
131,True,0.2,1.43,"(328, 490)",0.2,,0.0,0.0,0.0,"(20, 13)",1.0633109655468023,_claycode2-fragment-iO2nTqxQr98.png
132,False,0.2,1.43,"(198, 316)",0.3,,0.0,0.0,0.0,"(20, 13)",1.0633109655468023,_claycode2-fragment-iO2nTqxQr98.png
133,False,0.2,1.43,"(239, 461)",0.4,,0.0,0.0,0.0,"(20, 13)",1.0633109655468023,_claycode2-fragment-iO2nTqxQr98.png
134,False,0.2,1.43,"(515, 450)",0.5,,0.0,0.0,0.0,"(20, 13)",1.0633109655468023,_claycode2-fragment-iO2nTqxQr98.png
135,True,0.2,1.97,"(266, 317)",0.1,,0.0,0.0,0.0,"(11, -15)",0.9676009137417277,_claycode2-fragment-iO2nTqxQr98.png
